epoch,rel_time,can_id,dlc,data_hex,type,counter,temp,state,crc_ok,gap
1782982962.026463,16.279134,0x123,8,3a 1e 06 01 00 00 00 5b,SENSOR,58,30.06,WARNING,True,0
1782982962.126267,16.378937,0x123,8,3b 1e 06 01 00 00 00 84,SENSOR,59,30.06,WARNING,True,0
1782982962.129592,16.382262,0x100,2,9d 3c,HEARTBEAT,,,,,
1782982962.226258,16.478928,0x123,8,3c 1e 06 01 00 00 00 97,SENSOR,60,30.06,WARNING,True,0
1782982962.325872,16.578543,0x123,8,3d 1e 06 01 00 00 00 48,SENSOR,61,30.06,WARNING,True,0
1782982962.329525,16.582196,0x100,2,9e 3e,HEARTBEAT,,,,,
1782982962.425971,16.678641,0x123,8,3e 1e 06 01 00 00 00 2e,SENSOR,62,30.06,WARNING,True,0
1782982962.525129,16.777799,0x123,8,3f 1e 06 01 00 00 00 f1,SENSOR,63,30.06,WARNING,True,0
1782982962.528895,16.781565,0x100,2,9f 40,HEARTBEAT,,,,,
1782982962.625506,16.878177,0x123,8,40 1e 06 01 00 00 00 3f,SENSOR,64,30.06,WARNING,True,0
1782982962.725040,16.977710,0x123,8,41 1e 06 01 00 00 00 e0,SENSOR,65,30.06,WARNING,True,0
1782982962.728863,16.981533,0x100,2,a0 42,HEARTBEAT,,,,,
1782982962.824936,17.077606,0x123,8,42 1e 06 01 00 00 00 86,SENSOR,66,30.06,WARNING,True,0
1782982962.925116,17.177786,0x123,8,43 1e 05 01 00 00 00 ff,SENSOR,67,30.05,WARNING,True,0
1782982962.928869,17.181540,0x100,2,a1 44,HEARTBEAT,,,,,
1782982963.024705,17.277376,0x123,8,44 1e 05 01 00 00 00 ec,SENSOR,68,30.05,WARNING,True,0
1782982963.124609,17.377279,0x123,8,45 1e 05 01 00 00 00 33,SENSOR,69,30.05,WARNING,True,0
1782982963.128016,17.380687,0x100,2,a2 46,HEARTBEAT,,,,,
1782982963.224764,17.477435,0x123,8,46 1e 05 01 00 00 00 55,SENSOR,70,30.05,WARNING,True,0
1782982963.324454,17.577124,0x123,8,47 1e 05 01 00 00 00 8a,SENSOR,71,30.05,WARNING,True,0
1782982963.327854,17.580524,0x100,2,a3 48,HEARTBEAT,,,,,
1782982963.423876,17.676546,0x123,8,48 1e 05 01 00 00 00 73,SENSOR,72,30.05,WARNING,True,0
1782982963.523827,17.776498,0x123,8,49 1e 05 01 00 00 00 ac,SENSOR,73,30.05,WARNING,True,0
